CPD_ID,EC_50 Nuclei,Bottom Nuclei,Top Nuclei,Slope Nuclei,R2 Nuclei,EC_50 R/N,Bottom R/N,Top R/N,Slope R/N,R2 R/N,EC_50 G/N,Bottom G/N,Top G/N,Slope G/N,R2 G/N,Run
Canertinib,8.76E-06,-0.813,-0.292,17.8,0.382,2.63E-06,-0.356,0.216,0.278,0.356,2.13E-08,0.123,0.45,15,0.712,2
EC_11175103,5.49E-06,-0.0133,0.526,1.32,0.879,1.69E-06,-0.011,0.0805,13.8,0.116,1.14E-05,0.243,0.861,3.09,0.801,2
EC_11176072,3.64E-09,-0.201,0.0101,0.466,0.378,7.72E-06,-0.0181,0.0842,17.6,0.255,2.21E-09,0.624,1.07,0.719,0.489,2
EC_11176305,2.00E-09,-0.109,0.0413,8.39,0.357,6.35E-10,-0.0697,0.167,0.0858,0.0532,1.16E-08,0.928,1.08,1.81,0.147,2
EC_11176396,7.96E-07,-0.238,0.265,0.197,0.417,1.18E-05,-0.00659,0.518,10.7,0.934,6.38E-09,0.808,1.06,16.4,0.391,2
EC_11176778,2.89E-09,-0.155,-0.0138,4.4,0.453,1.60E-05,0.012,0.357,1.87,0.548,8.54E-07,0.597,1.72,0.187,0.536,2
EC_11176791,2.53E-07,0.0114,0.0523,16.1,0.126,7.02E-09,0.0134,0.0261,13.5,0.00947,3.98E-08,0.942,0.989,10.7,0.0594,2
EC_11176960,1.46E-08,-0.326,0.171,0.388,0.381,1.38E-06,0.0698,0.229,3.56,0.172,6.35E-10,0.878,1.05,7.26,0.00804,2
EC_11177096,2.15E-09,-0.185,-0.0205,12.9,0.431,1.54E-06,0.0256,0.0811,14.5,0.194,6.41E-09,0.649,0.998,0.965,0.528,2
EC_11177295,1.03E-05,-0.336,0.0211,1.81,0.786,9.21E-06,0.00925,0.529,1.48,0.843,3.09E-06,1.16,1.26,1.66,0.0874,2
EC_11177591,8.05E-07,-0.0759,0.144,15,0.717,7.37E-07,-0.0668,0.0672,15.2,0.231,1.36E-05,0.0855,0.723,4.63,0.817,2
EC_11177597,2.31E-05,-0.0911,0.0304,0.449,0.0926,3.14E-05,0.04,0.141,18.5,0.0453,3.66E-09,1.11,1.18,12.1,0.0607,2
EC_11187255,5.11E-06,-0.139,0.159,1.38,0.659,1.49E-05,-0.00178,0.506,1.95,0.836,1.78E-06,0.864,0.945,10.9,0.0587,2
EC_11187457,1.43E-07,-0.0363,0.532,0.849,0.864,4.90E-08,0.0551,0.328,1.68,0.222,4.38E-06,-0.0333,0.886,0.853,0.813,2
EC_11187466,3.84E-08,-0.165,0.343,0.702,0.661,6.16E-08,0.0147,0.24,1.52,0.312,9.23E-06,-0.0321,0.877,1.44,0.841,2
EC_11187486,1.11E-09,-0.287,-0.0241,2.25,0.718,1.96E-09,-0.0176,0.084,11,0.287,2.13E-06,0.695,1.36,0.179,0.324,2
EC_11187540,1.50E-05,0.00443,0.189,0.971,0.269,2.30E-09,0.0072,0.0777,9.34,0.0974,2.78E-06,0.843,1.12,1.25,0.513,2
EC_11187672,1.63E-06,-4.92E-05,0.0313,12.1,0.0555,1.15E-05,0.00869,0.185,9.99,0.361,2.62E-07,0.967,1.04,-8.64,0.0633,2
EC_11187821,1.59E-09,-0.159,0.0533,0.457,0.387,3.22E-05,0.00182,0.262,13.9,0.381,2.43E-09,0.61,0.959,0.381,0.311,2
EC_11187829,2.31E-07,0.0212,0.0279,11.1,0.0029,1.08E-05,0.0564,0.415,9.31,0.781,1.55E-05,1.13,1.66,4.41,0.603,2
EC_11187920,3.48E-07,0.0178,0.0575,16.5,0.111,8.60E-06,0.0388,0.691,1.69,0.936,1.23E-05,1.13,2.2,1.23,0.842,2
EC_11188016,1.93E-05,0.0137,0.283,2.56,0.653,1.09E-05,0.000653,0.465,13.5,0.923,2.22E-05,0.797,1.08,3.94,0.299,2
EC_11188057,5.12E-07,-0.0959,0.797,1.13,0.957,2.53E-07,-0.0185,0.632,16.9,0.708,1.73E-06,0.0999,0.86,1.07,0.814,2
EC_11188204,3.92E-09,-0.121,6.14E-05,17.7,0.652,1.18E-05,0.0168,0.346,11.4,0.695,1.47E-05,1.02,1.7,1.95,0.462,2
EC_11188310,2.79E-05,0.0365,0.313,14.1,0.718,1.94E-05,0.041,0.585,5,0.826,6.35E-10,1.04,1.08,7.36,0.00115,2
EC_11188314,2.78E-05,-0.00672,0.348,14.8,0.616,2.51E-05,0.0992,0.438,15.2,0.632,8.87E-06,0.757,0.868,9.75,0.142,2
EC_11188360,1.93E-05,0.0166,0.488,5.15,0.767,1.17E-05,0.0735,0.794,2.4,0.872,2.00E-09,0.822,1.05,12,0.199,2
EC_11188498,9.73E-07,0.0123,0.31,13.6,0.507,1.81E-06,0.0538,0.533,3.65,0.771,1.44E-05,0.116,0.923,3.46,0.68,2
EC_11188969,7.15E-10,-0.16,-0.000867,11.9,0.229,6.80E-06,-0.0187,0.101,0.307,0.116,1.23E-08,0.886,1.03,14.6,0.202,2
EC_11189176,2.56E-09,-0.187,0.02,0.849,0.407,1.03E-05,-0.0897,0.0294,1.49,0.139,6.14E-09,0.93,1.03,11.5,0.103,2
EC_11189184,1.04E-05,-0.175,0.187,1.37,0.513,1.07E-05,0.0354,0.718,1.59,0.84,6.72E-06,0.513,0.838,1.71,0.436,2
EC_11189194,6.35E-06,-0.011,0.894,1.15,0.956,5.22E-06,0.0904,0.926,1.92,0.972,4.84E-06,0.417,1.01,1.47,0.771,2
EC_11189359,1.07E-09,-0.155,0.0794,0.515,0.387,1.40E-07,0.021,0.0657,12.5,0.0475,2.75E-05,0.498,1.03,17.1,0.627,2
EC_11189472,9.58E-10,-0.367,-0.0364,2.13,0.484,2.78E-08,-0.0175,0.0985,1.07,0.453,6.35E-10,0.628,1.04,0.176,0.178,2
EC_11189481,3.97E-09,-0.0166,0.0204,13.3,0.0676,1.11E-05,-0.00187,0.164,11.1,0.52,2.91E-05,0.586,1,11.8,0.435,2
EC_11189700,1.20E-05,-0.712,0.0384,11.6,0.948,6.35E-10,-0.143,0.0594,0.785,0.13,2.80E-05,0.162,1.01,13.7,0.799,2
EC_11189708,9.49E-06,0.0305,0.676,0.983,0.874,8.30E-06,0.0878,0.809,1.82,0.91,6.35E-10,0.676,0.99,9.61,0.0702,2
EC_11189738,6.84E-10,-0.282,-0.0287,12.8,0.364,1.29E-08,0.0336,0.13,13.1,0.298,2.97E-05,0.723,1.06,-100,0.26,2
EC_11189828,2.40E-09,-0.105,0.022,1.08,0.18,2.97E-05,-0.223,0.0667,12.1,0.571,6.35E-10,0.588,0.962,10.7,0.125,2
EC_11189850,5.94E-07,-0.00946,0.62,1.16,0.833,8.13E-07,0.106,0.724,14.7,0.775,5.44E-06,0.0351,0.876,0.866,0.705,2
EC_11189978,2.84E-08,-0.0684,0.0141,13.7,0.0451,1.66E-07,0.0296,0.078,14.3,0.0824,1.57E-05,0.0229,0.984,3.17,0.812,2
EC_11190004,2.69E-05,-0.831,0.059,17.2,0.923,2.54E-07,-0.172,-0.00919,1.86,0.38,1.20E-06,-0.0509,0.876,0.609,0.892,2
EC_11190013,1.71E-05,-0.272,-0.0296,2.88,0.52,2.19E-08,0.0555,0.0991,11.7,0.0634,1.48E-05,0.28,0.905,2.82,0.711,2
EC_11190059,3.13E-06,0.036,0.269,15.2,0.665,8.98E-07,0.0292,0.179,15.8,0.201,1.34E-05,0.169,1.16,3.21,0.897,2
EC_11190219,4.87E-07,-0.0143,0.0211,14.8,0.084,1.59E-05,0.029,0.472,2.33,0.79,1.94E-05,1.11,1.51,3.01,0.611,2
EC_11190427,9.59E-06,-0.12,0.411,3.49,0.924,8.68E-06,-0.0242,0.541,5.09,0.904,1.24E-05,0.54,0.861,0.285,0.194,2
EC_11190448,2.45E-08,0.329,0.482,14.9,0.0258,2.39E-08,0.456,0.718,14.5,0.112,1.67E-06,-0.0344,0.611,0.8,0.848,2
EC_11190481,7.70E-07,-0.0746,0.263,0.634,0.728,6.38E-10,0.0455,0.186,20.1,0.0165,9.64E-06,-0.0423,1.01,2.84,0.846,2
EC_11190511,2.84E-06,0.0187,0.148,14.8,0.21,6.96E-06,0.0189,0.783,2.03,0.964,8.79E-06,0.0842,1.01,1.45,0.878,2
EC_11190627,6.42E-06,-0.184,0.318,3.87,0.803,1.03E-05,-0.0211,0.782,3.35,0.956,8.63E-06,0.593,0.752,14.2,0.39,2
EC_11190878,2.48E-06,-0.0095,0.74,1.77,0.969,2.07E-06,0.0472,0.918,2.68,0.975,3.98E-06,0.167,1.2,0.737,0.824,2
EC_11190967,3.23E-06,-0.00328,0.507,15.9,0.88,3.15E-06,-0.0424,0.142,15.7,0.16,1.17E-05,0.113,0.882,2.59,0.822,2
EC_11191211,9.00E-07,-0.0676,0.244,15.8,0.793,4.98E-07,-0.0124,0.0356,10.1,0.0324,7.10E-06,0.0184,0.905,1.64,0.907,2
EC_11191242,2.06E-06,-0.0148,0.398,2.42,0.829,1.01E-06,-0.000837,0.292,6.69,0.447,1.54E-05,0.1,0.945,3.89,0.738,2
EC_11191283,2.40E-07,0.00702,0.2,13.1,0.256,1.27E-07,0.0315,0.132,12.1,0.083,1.73E-06,-0.0462,1.07,0.641,0.952,2
EC_11191287,7.84E-08,0.00556,0.0931,10.3,0.105,9.02E-07,0.00661,0.148,12.5,0.209,2.79E-05,0.216,1.18,17.5,0.793,2
EC_11191311,6.39E-10,0.0682,0.208,12.2,0.0794,7.35E-07,0.0283,0.122,1.03,0.175,6.35E-10,0.747,1.05,0.635,0.151,2
EC_11191498,3.84E-06,0.0175,0.406,1.36,0.871,3.14E-06,0.0568,0.332,15.3,0.672,3.06E-05,0.757,1.06,11.4,0.246,2
EC_11191538,2.19E-09,-0.124,0.0098,12.8,0.159,1.23E-05,-0.263,0.0138,100,0.666,2.70E-05,0.124,0.9,10.9,0.727,2
EC_11191643,2.64E-05,-0.599,0.00412,15.8,0.813,1.18E-05,-0.211,0.0893,12,0.496,7.69E-06,-0.0215,1,1.42,0.873,2
EC_11191782,1.40E-05,-0.685,0.0303,10.6,0.962,3.23E-05,-0.149,0.175,0.0398,0.0256,1.39E-05,0.183,1.06,3.58,0.875,2
EC_11191889,1.85E-06,-0.0286,0.349,0.91,0.735,3.97E-09,0.0211,0.0593,9.84,0.0114,1.01E-05,-0.0382,0.847,13.4,0.907,2
EC_11192049,4.77E-08,-0.0448,-0.00408,8.67,0.00483,9.14E-07,0.0143,0.421,15.6,0.474,7.88E-06,-0.0509,1.11,1.08,0.859,2
EC_11192143,3.70E-09,-0.137,-0.025,9.47,0.0424,4.29E-08,-0.0239,0.0605,14.3,0.128,1.59E-05,-0.0322,0.835,3.75,0.795,2
EC_11192156,8.76E-07,-0.109,0.0399,13.9,0.153,2.91E-06,0.0129,0.197,17.1,0.302,1.35E-05,0.112,0.846,3.42,0.789,2
EC_11192169,1.30E-05,-0.765,0.00839,3.26,0.941,1.38E-07,0.0136,0.0802,14.5,0.154,1.40E-08,1.08,1.21,13.2,0.0711,2
EC_11192350,1.19E-05,-0.118,0.0449,10.2,0.549,4.55E-08,-0.00502,0.0438,13.7,0.0972,7.77E-09,1.05,1.14,13.6,0.102,2
EC_11192980,6.35E-10,-0.168,-0.056,3.56,0.0275,1.39E-07,0.0227,0.0808,13.8,0.121,4.05E-07,0.661,1.13,0.18,0.274,2
EC_11192989,5.36E-09,-0.14,0.0174,0.818,0.457,1.50E-05,0.0403,0.254,3.39,0.561,1.96E-08,0.67,1.17,0.411,0.556,2
EC_11193182,1.51E-05,-0.238,0.0141,2.17,0.668,3.09E-07,-0.00221,0.0474,13,0.219,9.60E-06,0.383,1.1,14.4,0.834,2
EC_11193277,1.09E-09,-0.168,0.0477,3.28,0.458,2.78E-05,-0.404,0.0816,14.1,0.735,1.59E-05,0.0841,0.919,4.87,0.832,2
EC_11193483,9.89E-07,0.029,0.161,14,0.3,5.85E-07,0.0683,0.204,2.63,0.235,1.29E-05,-0.00803,1.13,4.55,0.843,2
EC_11193514,2.34E-09,-0.0244,0.0264,13.6,0.168,2.58E-05,-0.0359,0.0705,8.21,0.281,1.07E-07,0.957,1.13,1.88,0.331,2
EC_11193590,2.71E-05,-0.772,0.043,18.1,0.882,9.94E-07,0.0106,0.415,1.19,0.908,8.45E-06,-0.036,1.04,1.07,0.832,2
EC_11193606,4.80E-07,0.0249,0.0575,10,0.0088,2.19E-08,0.00785,0.0393,15.8,0.0113,9.83E-06,-0.0444,1.05,2.03,0.937,2
EC_11255449,4.43E-07,0.025,0.0472,12.9,0.057,1.81E-05,0.0377,0.217,1.7,0.289,1.46E-06,1.14,1.18,9.82,0.0202,2
EC_11257101,9.53E-06,0.0403,0.138,12,0.233,1.19E-05,0.0697,0.722,2.54,0.89,8.36E-08,1.08,1.22,14.5,0.256,2
EC_11257109,9.12E-10,-0.61,-0.11,0.893,0.0877,2.20E-06,-0.155,0.0106,6.6,0.35,6.18E-07,-0.0533,0.847,0.716,0.907,2
EC_11257142,1.43E-06,0.00331,0.186,2.87,0.375,1.49E-06,0.0342,0.218,11.8,0.151,7.17E-06,0.0404,1.14,1.49,0.903,2
EC_11257708,7.64E-07,-0.00515,0.237,2.18,0.24,1.17E-06,-0.0116,0.296,4.33,0.364,1.79E-05,0.00676,0.942,5.76,0.916,2
EC_11258170,4.51E-06,0.0117,0.469,3.27,0.904,3.16E-06,0.0343,0.537,12.9,0.841,1.30E-05,0.278,0.936,2.47,0.719,2
EC_11258179,8.74E-07,0.0569,0.474,15.3,0.418,8.81E-07,0.000628,0.495,16.9,0.437,1.01E-05,-0.0259,0.981,1.1,0.783,2
EC_11258805,1.71E-07,0.0319,0.107,1.57,0.0372,1.65E-06,0.0525,0.168,13.3,0.055,1.71E-05,-0.0214,1.12,6.21,0.885,2
EC_11259165,2.75E-09,-0.25,0.0648,0.501,0.595,2.26E-07,0.000394,0.0838,12.7,0.0609,2.50E-05,0.0824,1.06,15,0.769,2
EC_11259170,2.74E-05,-0.751,0.0409,16.3,0.861,2.78E-05,-0.354,0.0563,15.5,0.692,3.50E-09,0.991,1.18,15.1,0.0402,2
EC_11259174,2.73E-05,-0.67,0.00826,16.7,0.846,2.67E-08,-0.0025,0.0815,15.3,0.0906,3.41E-09,0.829,0.873,17.9,0.00352,2
EC_11259640,8.28E-07,-0.0497,0.273,14.1,0.172,1.34E-06,-0.0731,0.726,2.49,0.878,6.60E-06,-0.0267,0.77,0.835,0.771,2
EC_11261479,2.85E-07,-0.00138,0.118,4.84,0.176,4.02E-07,0.0146,0.275,1.61,0.235,1.40E-05,0.0235,1.07,5.02,0.913,2
EC_11261486,6.73E-09,-0.177,-0.0109,14.1,0.621,1.68E-06,0.0162,0.212,1.93,0.51,1.99E-09,0.828,0.989,12.3,0.0539,2
EC_11261582,4.48E-06,-0.0263,0.588,2.19,0.819,3.02E-06,0.000617,0.808,13.1,0.928,2.27E-09,0.726,0.922,13.9,0.228,2
EC_11261587,1.63E-07,-0.259,0.117,0.412,0.457,3.04E-06,0.0133,0.244,15.2,0.506,1.08E-05,0.061,0.779,2.24,0.888,2
EC_11261632,1.68E-06,0.0177,0.452,1.89,0.756,3.17E-06,0.0563,0.899,2.29,0.968,7.22E-06,0.361,1.01,1.42,0.723,2
EC_11261900,4.14E-07,0.0599,0.417,5.93,0.395,4.87E-07,0.035,0.335,13,0.286,1.67E-06,-0.0497,1.07,0.965,0.956,2
EC_11262262,2.71E-06,-0.113,0.495,0.634,0.801,1.11E-06,0.0354,0.245,2.65,0.245,1.09E-05,0.159,1.02,10.1,0.883,2
EC_11262326,6.63E-06,-0.135,0.165,1.85,0.636,3.07E-06,-0.0572,0.339,15.9,0.85,2.98E-05,0.461,0.796,1.28,0.135,2
EC_11262380,8.76E-07,0.0569,0.454,16.4,0.281,8.47E-07,0.0252,0.449,8.44,0.28,4.31E-06,-0.0467,1.08,0.743,0.844,2
EC_11263657,1.68E-09,-0.265,-0.0216,1.68,0.624,1.06E-05,-0.00686,0.268,8.62,0.743,6.48E-09,0.858,1.05,10.4,0.224,2
EC_11265529,2.62E-05,0.0836,0.461,16.5,0.723,1.25E-05,0.106,0.83,3.38,0.901,6.85E-07,1.12,1.18,10.1,0.0366,2
EC_11265537,8.50E-07,0.0446,0.0847,15.2,0.0611,1.49E-06,0.0687,0.245,3.04,0.355,1.48E-05,0.376,1.16,4.18,0.842,2
EC_11265545,1.86E-07,0.0227,0.322,2.96,0.226,2.75E-07,0.0274,0.365,13.9,0.231,2.21E-06,-0.0493,1.12,1,0.934,2
EC_11281258,1.28E-05,-0.704,0.0617,10.8,0.925,8.16E-09,0.0239,0.056,14.5,0.00873,1.25E-05,0.118,1.08,11.3,0.935,2
EC_11281652,2.75E-05,-0.158,0.0308,2.5,0.167,8.47E-07,0.0535,0.133,15.9,0.093,2.25E-05,0.394,1.2,5.8,0.713,2
EC_11281741,7.51E-06,-0.811,0.0399,3.09,0.966,6.36E-06,-0.0693,0.0781,0.556,0.239,2.71E-06,0.53,1.23,0.843,0.773,2
EC_11284159,2.25E-08,-0.0517,-0.00181,12.9,0.0667,2.79E-08,0.0113,0.0261,12.6,0.0216,1.45E-09,0.462,0.931,1.02,0.351,2
EC_11301156,6.35E-10,-0.227,0.136,2.37,0.0587,3.11E-06,0.063,0.674,13.3,0.807,1.24E-05,-0.0378,0.807,4.03,0.798,2
EC_16576878,2.43E-08,-0.199,-0.0616,14.6,0.425,3.23E-05,0.000593,0.106,8.12,0.026,2.32E-09,0.802,1.07,11.3,0.259,2
EC_16578705,7.00E-06,-0.808,0.00397,3.2,0.965,2.89E-05,-0.0125,0.262,14.7,0.661,9.22E-06,0.56,1.02,10.7,0.545,2
EC_2072246,2.84E-06,-0.714,0.00456,1.89,0.951,2.89E-05,-0.046,0.509,14.3,0.761,2.30E-06,0.685,1.11,14.9,0.777,2
EC_2072738,1.97E-06,-0.781,0.00415,5.63,0.973,4.02E-06,0.02,0.43,0.691,0.749,3.65E-06,0.535,0.991,0.947,0.615,2
EC_2075773,1.19E-05,-0.829,-0.0421,0.927,0.632,3.09E-07,-0.00859,0.112,2.42,0.182,2.47E-05,0.0185,1.48,18.1,0.474,2
EC_2075960,6.49E-10,-0.0361,0.0312,9.54,0.111,3.99E-08,0.00865,0.0319,12.2,0.0402,1.85E-09,0.964,1.1,7.36,0.103,2
EC_2077640,2.50E-09,-0.204,-0.0833,3.04,0.0275,2.15E-07,-0.251,0.0941,1.02,0.881,2.46E-07,0.891,1.53,13.6,0.357,2
EC_2082611,4.74E-07,0.0194,0.0548,12.5,0.0848,1.99E-06,-0.0701,0.109,0.0441,0.0126,9.19E-07,1.02,1.09,11.5,0.0582,2
EC_24223796,4.84E-07,-0.0249,-0.00741,11.5,0.017,3.22E-05,-0.144,0.0122,12.8,0.137,4.86E-07,1.06,1.12,12.5,0.0618,2
EC_24723328,7.07E-07,-0.171,-0.0847,14.7,0.329,1.00E-06,-0.0516,-0.0276,10.9,0.0441,1.59E-06,0.674,0.85,0.0191,0.00127,2
EC_27082048,6.96E-06,-0.0697,0.679,0.885,0.786,1.00E-05,0.032,0.873,2.56,0.923,6.35E-10,0.621,0.786,-14.9,0.0139,2
EC_27082056,1.81E-06,-0.185,-0.0359,1.35,0.342,6.92E-08,-0.0716,0.0161,16,0.226,1.55E-05,0.115,0.795,4,0.795,2
EC_27084143,1.74E-09,-0.349,0.28,0.753,0.278,1.86E-07,0.186,0.569,1.88,0.49,1.32E-05,-0.0506,0.595,3.79,0.819,2
EC_6772302,5.03E-07,-0.313,0.343,0.207,0.622,3.02E-05,0.0631,0.443,11.3,0.571,1.18E-08,0.721,0.85,13.5,0.178,2
Saracatinib,6.95E-10,-0.806,-0.347,0.402,0.642,2.83E-05,0.0538,0.38,13.2,0.4,1.39E-05,-0.0489,0.922,5.82,0.655,2
X-WE51780341,6.85E-10,-0.443,-0.0339,1.64,0.19,1.43E-07,0.00762,0.0669,13.1,0.0683,1.40E-05,-0.0176,0.897,9.33,0.786,2
X-WE52880180,8.61E-08,-0.825,-0.451,3.46,0.453,8.35E-08,-0.0858,0.31,10.6,0.436,5.47E-09,-0.0337,0.586,0.535,0.468,2
X-WE60667960,1.92E-09,-0.446,0.0672,1.9,0.669,1.17E-05,0.0663,0.393,1.71,0.614,8.82E-07,0.247,0.89,0.318,0.689,2
X-WE60673361,1.31E-07,-0.147,0.54,1.37,0.754,1.86E-07,0.0402,0.723,2.68,0.704,2.33E-06,-0.0173,0.895,0.526,0.769,2
X-WE60677874,7.27E-07,-0.236,0.58,0.449,0.903,1.34E-06,-0.00739,0.686,1.02,0.894,1.45E-05,0.113,0.847,3.41,0.786,2
X-WE60677880,1.79E-06,-0.125,0.846,0.523,0.855,1.81E-06,-0.00464,1.01,0.691,0.893,2.64E-06,0.233,0.827,0.671,0.674,2
X-WE60677898,2.26E-06,-0.119,0.95,0.427,0.841,1.13E-06,-0.0197,1.01,0.634,0.9,1.79E-06,0.249,0.799,0.616,0.682,2
X-WE60848792,6.57E-07,-0.176,0.374,0.273,0.613,2.61E-07,0.0218,0.136,15.3,0.444,2.42E-09,0.518,0.971,0.0131,0.00201,2
X-XA25731,2.96E-08,-0.262,0.027,0.314,0.753,8.87E-07,-0.0367,0.0605,15.1,0.129,1.64E-09,0.664,1.11,0.507,0.168,2
X-XEW670281,2.69E-09,-0.793,-0.0878,1.12,0.827,9.97E-09,0.054,0.518,2.37,0.607,3.54E-06,-0.0533,0.833,0.942,0.692,2
